id,immOpt,delOpt,delay,task
217,-0.006622517,-1,50,loss
218,-0.769230769,-1,1,loss
219,-0.142857143,-1,20,loss
220,-3.333333333,-10,20,loss
221,-0.047619048,-1,20,loss
222,-0.970873786,-1,3,loss
223,-15.38461538,-20,3,loss
224,-0.5,-5,3,loss
225,-625,-10,50,loss
226,-2.5,-5,10,loss
227,-2.857142857,-20,20,loss
228,-2.5,-10,3,loss
229,-6.666666667,-10,1,loss
230,-0.285714286,-1,5,loss
231,-9.090909091,-10,1,loss
232,-0.3125,-5,50,loss
233,-0.25,-1,1,loss
234,-0.952380952,-20,20,loss
235,-0.833333333,-5,50,loss
236,-0.666666667,-1,50,loss
237,-1.666666667,-10,50,loss
238,-3.333333333,-20,50,loss
239,-0.909090909,-10,10,loss
240,-0.25,-1,10,loss
241,-0.327868852,-20,20,loss
242,-0.5,-1,2,loss
243,-625,-10,5,loss
244,-0.132450331,-20,50,loss
245,-0.016393443,-1,20,loss
246,-1.25,-5,3,loss
247,-0.833333333,-1,2,loss
248,-2,-5,3,loss
249,-9.090909091,-10,10,loss
250,-5,-20,1,loss
251,-5,-20,10,loss
252,-9.900990099,-10,1,loss
253,-4.166666667,-5,20,loss
254,-0.476190476,-10,20,loss
255,-0.333333333,-1,20,loss
256,-1.666666667,-5,20,loss
257,-0.952380952,-1,5,loss
258,-5.714285714,-20,5,loss
259,-5,-10,2,loss
260,-10.52631579,-20,3,loss
261,-1,-10,3,loss
262,-0.454545455,-5,20,loss
263,-0.322580645,-10,10,loss
264,-2.5,-5,2,loss
265,-0.038461538,-1,50,loss
266,-4.95049505,-5,1,loss
267,-13.33333333,-20,50,loss
268,-0.0625,-1,5,loss
269,-4.761904762,-5,5,loss
270,-19.8019802,-20,1,loss
271,-0.25,-1,3,loss
272,-1.25,-20,5,loss
273,-9.523809524,-10,5,loss
274,-0.033112583,-5,50,loss
275,-1.25,-5,10,loss
276,-1.818181818,-20,10,loss
277,-5,-20,3,loss
278,-3.846153846,-5,1,loss
279,-0.090909091,-1,20,loss
280,-6.25,-10,2,loss
281,-4.545454545,-5,1,loss
282,-18.18181818,-20,10,loss
283,-3.333333333,-10,2,loss
284,-10,-20,2,loss
285,-6.666666667,-20,20,loss
286,-8.333333333,-10,20,loss
287,-4,-10,5,loss
288,-0.980392157,-1,2,loss
289,-0.392156863,-20,50,loss
290,-6.666666667,-20,2,loss
291,-625,-1,2,loss
292,-0.098039216,-5,50,loss
293,-0.238095238,-5,20,loss
294,-0.769230769,-1,3,loss
295,-7.692307692,-10,3,loss
296,-6.666666667,-10,5,loss
