"rt","key_press","immOpt","delOpt","delay","trial_type","trial_index","time_elapsed","internal_node_id","choice"
"784","81","19.60784314","20","2","html-keyboard-response","0","785","0.0-0.0-0.0","immediate"
"159","81","1.666666667","10","5","html-keyboard-response","1","946","0.0-0.0-1.0","immediate"
"143","81","3.333333333","20","10","html-keyboard-response","2","1091","0.0-0.0-2.0","immediate"
"174","81","0.4","1","3","html-keyboard-response","3","1267","0.0-0.0-3.0","immediate"
"382","81","4","10","3","html-keyboard-response","4","1650","0.0-0.0-4.0","immediate"
