"rt","key_press","immOpt","delOpt","delay","trial_type","trial_index","time_elapsed","internal_node_id","choice"
"711","81","19.60784314","20","2","html-keyboard-response","0","713","0.0-0.0-0.0","immediate"
"171","81","1.666666667","10","5","html-keyboard-response","1","886","0.0-0.0-1.0","immediate"
"128","81","3.333333333","20","10","html-keyboard-response","2","1015","0.0-0.0-2.0","immediate"
"125","81","0.4","1","3","html-keyboard-response","3","1143","0.0-0.0-3.0","immediate"
"126","81","4","10","3","html-keyboard-response","4","1270","0.0-0.0-4.0","immediate"
