"rt","key_press","immOpt","delOpt","delay","trial_type","trial_index","time_elapsed","internal_node_id","choice"
"223","81","19.60784314","20","2","html-keyboard-response","0","226","0.0-0.0-0.0","immediate"
"125","81","1.666666667","10","5","html-keyboard-response","1","353","0.0-0.0-1.0","immediate"
"127","81","3.333333333","20","10","html-keyboard-response","2","481","0.0-0.0-2.0","immediate"
"128","81","0.4","1","3","html-keyboard-response","3","609","0.0-0.0-3.0","immediate"
"145","81","4","10","3","html-keyboard-response","4","755","0.0-0.0-4.0","immediate"
