"rt","key_press","immOpt","delOpt","delay","trial_type","trial_index","time_elapsed","internal_node_id","choice"
"1086","81","19.60784314","20","2","html-keyboard-response","0","1087","0.0-0.0-0.0","immediate"
"321","81","1.666666667","10","5","html-keyboard-response","1","1409","0.0-0.0-1.0","immediate"
"271","81","3.333333333","20","10","html-keyboard-response","2","1682","0.0-0.0-2.0","immediate"
"301","81","0.4","1","3","html-keyboard-response","3","1985","0.0-0.0-3.0","immediate"
"269","81","4","10","3","html-keyboard-response","4","2255","0.0-0.0-4.0","immediate"
