"rt","key_press","immOpt","delOpt","delay","trial_type","trial_index","time_elapsed","internal_node_id","choice"
"798","81","19.60784314","20","2","html-keyboard-response","0","800","0.0-0.0-0.0","immediate"
"271","81","1.666666667","10","5","html-keyboard-response","1","1072","0.0-0.0-1.0","immediate"
"303","81","3.333333333","20","10","html-keyboard-response","2","1376","0.0-0.0-2.0","immediate"
"637","80","0.4","1","3","html-keyboard-response","3","2014","0.0-0.0-3.0","delayed"
"208","80","4","10","3","html-keyboard-response","4","2222","0.0-0.0-4.0","delayed"
